,Taken from: https://afltables.com/afl/seas/ladders/laddersyby.html,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
46,Hawthorn,14,7.0,9.0,8.0,5.0,8.0,6.0,6.0,7.0,7.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,
47,Greater Western Sydney,10,9.0,11.0,9.0,6.0,5.0,5.0,3.0,3.0,4.0,6.0,6.0,5.0,4.0,3.0,7.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,
48,Adelaide,11,5.0,6.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,5.0,3.0,2.0,6.0,5.0,3.0,3.0,2.0,5.0,
49,West Coast,4,8.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,8.0,8.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,
50,*Western Bulldogs,1,1.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,7.0,6.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,
51,North Melbourne,8,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
52,St Kilda,13,18.0,13.0,12.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,13.0,12.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,
53,Port Adelaide,6,12.0,8.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,11.0,11.0,10.0,
54,Melbourne,9,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0,10.0,11.0,
55,Collingwood,17,14.0,14.0,15.0,11.0,13.0,14.0,12.0,11.0,12.0,12.0,14.0,14.0,14.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
56,Richmond,7,10.0,12.0,13.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,13.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,
